name,time,pos1,pos2
Gold-Raven,15:07:28,"[{'x': 4.631396016631597, 'y': 0, 'z': -0.09757548966074074}, {'x': 4.631396016631597, 'y': 0, 'z': -0.09757548966074074}]","[{'x': 4.631833607320772, 'y': 0, 'z': 0.5413686092106078}, {'x': 4.631833607320772, 'y': 0, 'z': 0.5413686092106078}]"
Gold-Raven,15:07:29,"[{'x': 4.631833607320772, 'y': 0, 'z': 0.5413686092106078}, {'x': 4.631833607320772, 'y': 0, 'z': 0.5413686092106078}]","[{'x': 4.631833607320772, 'y': 0, 'z': 1.2852211373454738}, {'x': 4.631833607320772, 'y': 0, 'z': 1.2852211373454738}]"
Gold-Raven,15:07:30,"[{'x': 4.631833607320772, 'y': 0, 'z': 1.2852211373454738}, {'x': 4.631833607320772, 'y': 0, 'z': 1.2852211373454738}]","[{'x': 4.631833607320772, 'y': 0, 'z': 1.1103384705070494}, {'x': 4.631833607320772, 'y': 0, 'z': 1.1103384705070494}]"
Gold-Raven,15:07:31,"[{'x': 4.631833607320772, 'y': 0, 'z': 1.1103384705070494}, {'x': 4.631833607320772, 'y': 0, 'z': 1.1103384705070494}]","[{'x': 1.658448791782133, 'y': 0, 'z': 1.1935091547732257}, {'x': 1.658448791782133, 'y': 0, 'z': 1.1935091547732257}]"
Gold-Raven,15:07:32,"[{'x': 1.658448791782133, 'y': 0, 'z': 1.1935091547732257}, {'x': 1.658448791782133, 'y': 0, 'z': 1.1935091547732257}]","[{'x': 4.98417995574274, 'y': 0, 'z': 0.3410056092629658}, {'x': 4.98417995574274, 'y': 0, 'z': 0.3410056092629658}]"
Gold-Raven,15:07:33,"[{'x': 4.98417995574274, 'y': 0, 'z': 0.3410056092629658}, {'x': 4.98417995574274, 'y': 0, 'z': 0.3410056092629658}]","[{'x': 5.004024868943452, 'y': 0, 'z': 1.2864222297451002}, {'x': 5.004024868943452, 'y': 0, 'z': 1.2864222297451002}]"
Gold-Raven,15:07:34,"[{'x': 5.004024868943452, 'y': 0, 'z': 1.2864222297451002}, {'x': 5.004024868943452, 'y': 0, 'z': 1.2864222297451002}]","[{'x': 5.004082781809708, 'y': 0, 'z': 0.12774030606728592}, {'x': 5.004082781809708, 'y': 0, 'z': 0.12774030606728592}]"
Brown-Yak,14:31:50,"[{'x': 0.5007075049458201, 'y': 0, 'z': 1.1151311545899754}, {'x': 0.5007075049458201, 'y': 0, 'z': 1.1151311545899754}]","[{'x': 1.5440930521417733, 'y': 0, 'z': 1.1151311545899754}, {'x': 1.5440930521417733, 'y': 0, 'z': 1.1151311545899754}]"
Green-Yak,14:33:49,"[{'x': 1.3970763917482525, 'y': 0, 'z': 1.1070260492047563}, {'x': 1.3970763917482525, 'y': 0, 'z': 1.1070260492047563}]","[{'x': 1.3970763917482525, 'y': 0, 'z': 1.883526551181758}, {'x': 1.3970763917482525, 'y': 0, 'z': 1.883526551181758}]"
Green-Yak,14:33:50,"[{'x': 1.3970763917482525, 'y': 0, 'z': 1.883526551181758}, {'x': 1.3970763917482525, 'y': 0, 'z': 1.883526551181758}]","[{'x': 1.3970763917482525, 'y': 0, 'z': 2.8015031616001327}, {'x': 1.3970763917482525, 'y': 0, 'z': 2.8015031616001327}]"
Green-Yak,14:33:51,"[{'x': 1.3970763917482525, 'y': 0, 'z': 2.8015031616001327}, {'x': 1.3970763917482525, 'y': 0, 'z': 2.8015031616001327}]","[{'x': 1.3970763917482525, 'y': 0, 'z': 2.127424846117422}, {'x': 1.3970763917482525, 'y': 0, 'z': 2.127424846117422}]"
Green-Yak,14:33:52,"[{'x': 1.3970763917482525, 'y': 0, 'z': 2.127424846117422}, {'x': 1.3970763917482525, 'y': 0, 'z': 2.127424846117422}]","[{'x': 1.0040083494631966, 'y': 0, 'z': 1.7793853260990522}, {'x': 1.0040083494631966, 'y': 0, 'z': 1.7793853260990522}]"
Lime-Ibex,13:33:03,"[{'x': 1.4082488701276372, 'y': 0, 'z': -0.15087772955258516}, {'x': 1.4082488701276372, 'y': 0, 'z': -0.15087772955258516}]","[{'x': 1.4326547095589728, 'y': 0, 'z': 2.1244537805817707}, {'x': 1.4326547095589728, 'y': 0, 'z': 2.1244537805817707}]"
Lime-Ibex,13:33:04,"[{'x': 1.4326547095589728, 'y': 0, 'z': 2.1244537805817707}, {'x': 1.4326547095589728, 'y': 0, 'z': 2.1244537805817707}]","[{'x': 1.4327263906749785, 'y': 0, 'z': 1.2740847934338018}, {'x': 1.4327263906749785, 'y': 0, 'z': 1.2740847934338018}]"
Lime-Ibex,13:33:05,"[{'x': 1.4327263906749785, 'y': 0, 'z': 1.2740847934338018}, {'x': 1.4327263906749785, 'y': 0, 'z': 1.2740847934338018}]","[{'x': -5.436251116899888, 'y': 0, 'z': 1.2715864396995298}, {'x': -5.436251116899888, 'y': 0, 'z': 1.2715864396995298}]"
Lime-Ibex,13:33:06,"[{'x': -5.436251116899888, 'y': 0, 'z': 1.2715864396995298}, {'x': -5.436251116899888, 'y': 0, 'z': 1.2715864396995298}]","[{'x': -6.30061749880285, 'y': 0, 'z': -0.8432798944846676}, {'x': -6.30061749880285, 'y': 0, 'z': -0.8432798944846676}]"
Lime-Ibex,13:33:07,"[{'x': -6.30061749880285, 'y': 0, 'z': -0.8432798944846676}, {'x': -6.30061749880285, 'y': 0, 'z': -0.8432798944846676}]","[{'x': -6.019521860107303, 'y': 0, 'z': -0.11801165413534156}, {'x': -6.019521860107303, 'y': 0, 'z': -0.11801165413534156}]"
Lime-Ibex,13:33:08,"[{'x': -6.019521860107303, 'y': 0, 'z': -0.11801165413534156}, {'x': -6.019521860107303, 'y': 0, 'z': -0.11801165413534156}]","[{'x': -6.018679143930654, 'y': 0, 'z': -0.6442721916080304}, {'x': -6.018679143930654, 'y': 0, 'z': -0.6442721916080304}]"
Lime-Ibex,13:33:09,"[{'x': -6.018679143930654, 'y': 0, 'z': -0.6442721916080304}, {'x': -6.018679143930654, 'y': 0, 'z': -0.6442721916080304}]","[{'x': -4.49954735312886, 'y': 0, 'z': -0.6971632158308573}, {'x': -4.49954735312886, 'y': 0, 'z': -0.6971632158308573}]"
Peru-Hare,13:36:13,"[{'x': 5.664969946246068, 'y': 0, 'z': 5.923243987041356}, {'x': 5.664969946246068, 'y': 0, 'z': 5.923243987041356}]","[{'x': 5.664969946246068, 'y': 0, 'z': 6.118096580624621}, {'x': 5.664969946246068, 'y': 0, 'z': 6.118096580624621}]"
Peru-Hare,13:36:14,"[{'x': 5.664969946246068, 'y': 0, 'z': 6.118096580624621}, {'x': 5.664969946246068, 'y': 0, 'z': 6.118096580624621}]","[{'x': 5.664969946246068, 'y': 0, 'z': 6.118692255419655}, {'x': 5.664969946246068, 'y': 0, 'z': 6.118692255419655}]"
